price;product;quantitytoorder2p;region;skucode;skuname;url;title;ahprice;portiegrote;ahsku
1.40;ontbijt-box;1;NL;BAK-10-45005-4;Meergranenbeschuit (8st);https://www.ah.nl/producten/product/wi420826/bolletje-beschuit-vezelrijk-meergranen;Bolletje Beschuit vezelrijk meergranen;1,19;13 Stuk;692567
1.40;ontbijt-box;1;NL;BAK-10-45005-4;Meergranenbeschuit (8st);https://www.ah.nl/producten/product/wi455934/bolletje-boeren-beschuit-meergranen;Bolletje Boeren beschuit meergranen;1,59;160 Gram;612189
1.40;ontbijt-box;1;NL;BAK-10-45005-4;Meergranenbeschuit (8st);https://www.ah.nl/producten/product/wi435720/ah-beschuit-meergranen;AH Beschuit meergranen;0,79;125 Gram;700109
1.07;ontbijt-box;1;NL;BAK-11-21006-4;Zuurdesembroodje (2st);;product not found;product not found;product not found;product not found
1.07;ontbijt-box;1;NL;BAK-11-21006-4;Zuurdesembroodje (2st);;product not found;product not found;product not found;product not found
1.07;ontbijt-box;1;NL;BAK-11-21006-4;Zuurdesembroodje (2st);;product not found;product not found;product not found;product not found
0.39;ontbijt-box;1;NL;BAK-11-21008-4;Bruine ciabatta (2st);;product not found;product not found;product not found;product not found
0.39;ontbijt-box;1;NL;BAK-11-21008-4;Bruine ciabatta (2st);;product not found;product not found;product not found;product not found
0.39;ontbijt-box;1;NL;BAK-11-21008-4;Bruine ciabatta (2st);;product not found;product not found;product not found;product not found
0.90;ontbijt-box;1;NL;BAK-11-21010-4;Bruin rozenbroodje (2st);;product not found;product not found;product not found;product not found
0.90;ontbijt-box;1;NL;BAK-11-21010-4;Bruin rozenbroodje (2st);;product not found;product not found;product not found;product not found
0.90;ontbijt-box;1;NL;BAK-11-21010-4;Bruin rozenbroodje (2st);;product not found;product not found;product not found;product not found
1.53;ontbijt-box;1;NL;BAK-11-21013-4;Meergranen croissant (2st);;product not found;product not found;product not found;product not found
1.53;ontbijt-box;1;NL;BAK-11-21013-4;Meergranen croissant (2st);;product not found;product not found;product not found;product not found
1.53;ontbijt-box;1;NL;BAK-11-21013-4;Meergranen croissant (2st);;product not found;product not found;product not found;product not found
0.52;ontbijt-box;1;NL;BAK-11-21043-4;Friese suikerbol (2st);;product not found;product not found;product not found;product not found
0.52;ontbijt-box;1;NL;BAK-11-21043-4;Friese suikerbol (2st);;product not found;product not found;product not found;product not found
0.52;ontbijt-box;1;NL;BAK-11-21043-4;Friese suikerbol (2st);;product not found;product not found;product not found;product not found
0.73;ontbijt-box;1;NL;DAI-10-16089-4;Crème fraîche (125g);https://www.ah.nl/producten/product/wi3868/ah-creme-fraiche;AH Crème fraîche;0,89;125 Gram;99369
0.73;ontbijt-box;1;NL;DAI-10-16089-4;Crème fraîche (125g);https://www.ah.nl/producten/product/wi67781/ah-creme-fraiche-light;AH Crème fraîche light;0,95;125 Gram;530940
0.73;ontbijt-box;1;NL;DAI-10-16089-4;Crème fraîche (125g);https://www.ah.nl/producten/product/wi195849/de-zaanse-hoeve-creme-fraiche;De Zaanse Hoeve Crème fraîche;0,69;200 Gram;573255
0.79;ontbijt-box;2;NL;DAI-10-16090-4;Bulgaarse yoghurt (500ml);;product not found;product not found;product not found;product not found
0.79;ontbijt-box;2;NL;DAI-10-16090-4;Bulgaarse yoghurt (500ml);;product not found;product not found;product not found;product not found
0.79;ontbijt-box;2;NL;DAI-10-16090-4;Bulgaarse yoghurt (500ml);https://www.ah.nl/producten/product/wi177511/ah-yoghurt-bulgaarse-stijl;AH Yoghurt Bulgaarse stijl;1,39;500 Gram;768146
0.87;ontbijt-box;1;NL;DAI-10-16091-4;Griekse yoghurt (500ml);https://www.ah.nl/producten/product/wi407959/de-zaanse-hoeve-yoghurt-griekse-stijl-2percent-vet;De Zaanse Hoeve Yoghurt Griekse stijl 2% vet;1,69;1 Kilogram;853187
0.87;ontbijt-box;1;NL;DAI-10-16091-4;Griekse yoghurt (500ml);https://www.ah.nl/producten/product/wi412573/almhof-griekse-stijl-yoghurt-0percent-vet-naturel;Almhof Griekse stijl yoghurt 0% vet naturel;1,55;450 Gram;856016
0.87;ontbijt-box;1;NL;DAI-10-16091-4;Griekse yoghurt (500ml);https://www.ah.nl/producten/product/wi216237/de-zaanse-hoeve-yoghurt-griekse-stijl;De Zaanse Hoeve Yoghurt Griekse stijl;1,69;1 Kilogram;809358
0.81;ontbijt-box;1;NL;DAI-10-16092-4;Halfvolle melk (1l);https://www.ah.nl/producten/product/wi200486/de-zaanse-hoeve-halfvolle-melk;De Zaanse Hoeve Halfvolle melk;1,65;2 Liter;574301
0.81;ontbijt-box;1;NL;DAI-10-16092-4;Halfvolle melk (1l);https://www.ah.nl/producten/product/wi1525/ah-halfvolle-melk;AH Halfvolle melk;1,05;1 Liter;11943
0.81;ontbijt-box;1;NL;DAI-10-16092-4;Halfvolle melk (1l);https://www.ah.nl/producten/product/wi33693/ah-halfvolle-melk;AH Halfvolle melk;1,45;1.5 Liter;92154
0.98;ontbijt-box;1;NL;DAI-10-16095-4;Halfvolle yoghurt (1l);https://www.ah.nl/producten/product/wi186766/campina-biologisch-halfvolle-yoghurt;Campina Biologisch halfvolle yoghurt;1,33;1000 Milliliter;780597
0.98;ontbijt-box;1;NL;DAI-10-16095-4;Halfvolle yoghurt (1l);https://www.ah.nl/producten/product/wi121656/ah-milde-yoghurt-halfvol;AH Milde yoghurt (halfvol);1,05;1 Liter;575366
0.98;ontbijt-box;1;NL;DAI-10-16095-4;Halfvolle yoghurt (1l);https://www.ah.nl/producten/product/wi373908/ah-halfvolle-vanilleyoghurt;AH Halfvolle vanilleyoghurt;1,22;1 Liter;27504
1.04;ontbijt-box;1;NL;DAI-10-16101-4;Volle yoghurt (1l);https://www.ah.nl/producten/product/wi1518/ah-volle-yoghurt;AH Volle yoghurt;1,05;1 Liter;540180
