id;price_x;product;quantitytoorder2p;region;skucode;skuname;ahsearch;url;title;category;price_y;size;size_type;size_nr;price_100(g/l)_p1st;ahid
121878664934773253;0.11;classic-box;0;NL;PHF-11-16276-4;Vastkokende aardappelen (300g);vastkokende%20aardappelen;https://www.ah.nl/producten/product/wi96050/ah-vastkokende-aardappelen;AH Vastkokende aardappelen;Aardappel, groente, fruit/Aardappel vastkokend - met schil;4.49;3 kg;kg;3.0;0.15;wi96050
121878664934773254;0.18;classic-box;1;NL;PHF-11-16279-4;Vastkokende aardappelen (500g);vastkokende%20aardappelen;https://www.ah.nl/producten/product/wi96050/ah-vastkokende-aardappelen;AH Vastkokende aardappelen;Aardappel, groente, fruit/Aardappel vastkokend - met schil;4.49;3 kg;kg;3.0;0.15;wi96050
121878664934773255;0.26;classic-box;0;NL;PHF-11-16281-4;Vastkokende aardappelen (750g);vastkokende%20aardappelen;https://www.ah.nl/producten/product/wi96050/ah-vastkokende-aardappelen;AH Vastkokende aardappelen;Aardappel, groente, fruit/Aardappel vastkokend - met schil;4.49;3 kg;kg;3.0;0.15;wi96050
121878664934773256;0.35;classic-box;0;NL;PHF-11-16284-4;Vastkokende aardappelen (1000g);vastkokende%20aardappelen;https://www.ah.nl/producten/product/wi96050/ah-vastkokende-aardappelen;AH Vastkokende aardappelen;Aardappel, groente, fruit/Aardappel vastkokend - met schil;4.49;3 kg;kg;3.0;0.15;wi96050
121878664934773327;0.14;classic-box;1;NL;PHF-11-16277-4;Vastkokende aardappelen (400g);vastkokende%20aardappelen;https://www.ah.nl/producten/product/wi96050/ah-vastkokende-aardappelen;AH Vastkokende aardappelen;Aardappel, groente, fruit/Aardappel vastkokend - met schil;4.49;3 kg;kg;3.0;0.15;wi96050
121878664934773328;0.08;classic-box;0;NL;PHF-11-16274-4;Vastkokende aardappelen (200g);vastkokende%20aardappelen;https://www.ah.nl/producten/product/wi96050/ah-vastkokende-aardappelen;AH Vastkokende aardappelen;Aardappel, groente, fruit/Aardappel vastkokend - met schil;4.49;3 kg;kg;3.0;0.15;wi96050
121878664934773329;0.21;classic-box;0;NL;PHF-11-16280-4;Vastkokende aardappelen (600g);vastkokende%20aardappelen;https://www.ah.nl/producten/product/wi96050/ah-vastkokende-aardappelen;AH Vastkokende aardappelen;Aardappel, groente, fruit/Aardappel vastkokend - met schil;4.49;3 kg;kg;3.0;0.15;wi96050
121878664934773330;0.28;classic-box;0;NL;PHF-11-16282-4;Vastkokende aardappelen (800g);vastkokende%20aardappelen;https://www.ah.nl/producten/product/wi96050/ah-vastkokende-aardappelen;AH Vastkokende aardappelen;Aardappel, groente, fruit/Aardappel vastkokend - met schil;4.49;3 kg;kg;3.0;0.15;wi96050
121878664934773504;0.09;classic-box;0;NL;PHF-11-16275-4;Vastkokende aardappelen (250g);vastkokende%20aardappelen;https://www.ah.nl/producten/product/wi96050/ah-vastkokende-aardappelen;AH Vastkokende aardappelen;Aardappel, groente, fruit/Aardappel vastkokend - met schil;4.49;3 kg;kg;3.0;0.15;wi96050
121878664934773257;0.06;classic-box;1;NL;SPI-10-45396-4;Kerriepoeder (4g);kerriepoeder;https://www.ah.nl/producten/product/wi414964/verstegen-zakje-kerrie;Verstegen Zakje kerrie;Soepen, conserven, sauzen, smaakmakers/Kerriepoeder;1.43;35 g;g;35.0;4.09;wi414964
121878664934773258;0.02;classic-box;2;NL;PHF-10-16851-4;Knoflookteen;knoflookteen;https://www.ah.nl/producten/product/wi106245/carbonell-knoflookteentjes;Carbonell Knoflookteentjes;Aardappel, groente, fruit/Knoflook (in pot);1.29;100 g;g;100.0;1.29;wi106245
121878664934773259;0.28;classic-box;1;NL;PHF-10-16088-4;Prei (200g);prei;https://www.ah.nl/producten/product/wi395959/ah-prei;AH Prei;Aardappel, groente, fruit/Gesneden prei (vers);1.69;400 g;g;400.0;0.42;wi395959
121878664934773260;0.37;classic-box;0;NL;PHF-11-16008-4;Champignons (125g);champignons;https://www.ah.nl/producten/product/wi67842/ah-champignons-voordeel;AH Champignons voordeel;Aardappel, groente, fruit/Champignons (vers);1.45;400 g;g;400.0;0.36;wi67842
121878664934773261;0.57;classic-box;1;NL;PHF-11-16012-4;Champignons (250g);champignons;https://www.ah.nl/producten/product/wi67842/ah-champignons-voordeel;AH Champignons voordeel;Aardappel, groente, fruit/Champignons (vers);1.45;400 g;g;400.0;0.36;wi67842
121878664934773262;0.86;classic-box;0;NL;PHF-11-16015-4;Champignons (375g);champignons;https://www.ah.nl/producten/product/wi67842/ah-champignons-voordeel;AH Champignons voordeel;Aardappel, groente, fruit/Champignons (vers);1.45;400 g;g;400.0;0.36;wi67842
121878664934773263;1.05;classic-box;0;NL;PHF-11-16018-4;Champignons (500g);champignons;https://www.ah.nl/producten/product/wi67842/ah-champignons-voordeel;AH Champignons voordeel;Aardappel, groente, fruit/Champignons (vers);1.45;400 g;g;400.0;0.36;wi67842
121878664934773264;0.23;classic-box;1;NL;PHF-11-16162-4;Salie (10g);salie;https://www.ah.nl/producten/product/wi451499/nivea-clay-hibiscus-en-salie-douchecreme;Nivea Clay hibiscus & salie douchecrème;Drogisterij, baby/Douchecreme;4.49;per stuk;st;1;4.49;
121878664934773265;0.39;classic-box;0;NL;PHF-11-46624-4;Salie (20g);salie;https://www.ah.nl/producten/product/wi451499/nivea-clay-hibiscus-en-salie-douchecreme;Nivea Clay hibiscus & salie douchecrème;Drogisterij, baby/Douchecreme;4.49;per stuk;st;1;4.49;
121878664934773266;1.49;classic-box;0;NL;PTN-11-11077-4;Zeebaarsfilet met vel (1x 80-90g);zeebaarsfilet%20met%20vel;;;;;;;;;
121878664934773267;2.70;classic-box;1;NL;PTN-11-11078-4;Zeebaarsfilet met vel (2x 80-90g);zeebaarsfilet%20met%20vel;;;;;;;;;
121878664934773268;3.91;classic-box;0;NL;PTN-11-11079-4;Zeebaarsfilet met vel (3x 80-90g);zeebaarsfilet%20met%20vel;;;;;;;;;
121878664934773269;5.13;classic-box;0;NL;PTN-11-11080-4;Zeebaarsfilet met vel (4x 80-90g);zeebaarsfilet%20met%20vel;;;;;;;;;
121878664934773270;0.23;classic-box;0;NL;DRY-11-17142-1;Pandanrijst (85g);pandanrijst;https://www.ah.nl/producten/product/wi197612/lassie-pandanrijst-extra;Lassie Pandanrijst extra;Pasta, rijst, internationale keuken/Jasmijn, pandanrijst;1.79;400 g;g;400.0;0.45;wi197612
121878664934773271;0.32;classic-box;1;NL;DRY-11-17143-1;Pandanrijst (170g);pandanrijst;https://www.ah.nl/producten/product/wi197612/lassie-pandanrijst-extra;Lassie Pandanrijst extra;Pasta, rijst, internationale keuken/Jasmijn, pandanrijst;1.79;400 g;g;400.0;0.45;wi197612
121878664934773272;0.41;classic-box;0;NL;DRY-11-17144-1;Pandanrijst (250g);pandanrijst;https://www.ah.nl/producten/product/wi197612/lassie-pandanrijst-extra;Lassie Pandanrijst extra;Pasta, rijst, internationale keuken/Jasmijn, pandanrijst;1.79;400 g;g;400.0;0.45;wi197612
121878664934773273;0.50;classic-box;0;NL;DRY-11-17145-1;Pandanrijst (335g);pandanrijst;https://www.ah.nl/producten/product/wi197612/lassie-pandanrijst-extra;Lassie Pandanrijst extra;Pasta, rijst, internationale keuken/Jasmijn, pandanrijst;1.79;400 g;g;400.0;0.45;wi197612
121878664934773274;0.30;classic-box;1;NL;PHF-10-16033-4;Komkommer;komkommer;https://www.ah.nl/producten/product/wi54074/ah-komkommer;AH Komkommer;Aardappel, groente, fruit/Komkommer (vers);0.59;per stuk;st;1;0.59;
121878664934773275;0.21;classic-box;1;NL;PHF-10-16892-4;Limoen BIO;limoen%20bio;https://www.ah.nl/producten/product/wi443462/ah-biologisch-limoen;AH Biologisch Limoen;Aardappel, groente, fruit/Verse limoenen;1.79;3 stuks;st;3.0;0.6;wi443462
121878664934773277;0.05;classic-box;1;NL;PHF-10-16054-4;Rode peper;rode%20peper;https://www.ah.nl/producten/product/wi387770/ah-rode-peper;AH Rode peper;Soepen, conserven, sauzen, smaakmakers/Peper (vers);0.35;per stuk;st;1;0.35;
121878664934773278;0.19;classic-box;0;NL;SPI-11-24491-4;Gezouten pinda's (15g);gezouten%20pinda's;https://www.ah.nl/producten/product/wi140746/ah-katjang-pedis-gezouten;AH Katjang pedis gezouten;Snoep, koek, chips/Pinda's (bakje);1.85;210 g;g;210.0;0.88;wi140746
121878664934773279;0.23;classic-box;1;NL;SPI-11-24494-4;Gezouten pinda's (30g);gezouten%20pinda's;https://www.ah.nl/producten/product/wi140746/ah-katjang-pedis-gezouten;AH Katjang pedis gezouten;Snoep, koek, chips/Pinda's (bakje);1.85;210 g;g;210.0;0.88;wi140746
121878664934773280;0.27;classic-box;0;NL;SPI-11-24496-4;Gezouten pinda's (45g);gezouten%20pinda's;https://www.ah.nl/producten/product/wi140746/ah-katjang-pedis-gezouten;AH Katjang pedis gezouten;Snoep, koek, chips/Pinda's (bakje);1.85;210 g;g;210.0;0.88;wi140746
121878664934773281;0.31;classic-box;0;NL;SPI-11-24498-4;Gezouten pinda's (60g);gezouten%20pinda's;https://www.ah.nl/producten/product/wi140746/ah-katjang-pedis-gezouten;AH Katjang pedis gezouten;Snoep, koek, chips/Pinda's (bakje);1.85;210 g;g;210.0;0.88;wi140746
121878664934773424;0.18;classic-box;0;NL;SPI-11-24490-4;Gezouten pinda's (10g);gezouten%20pinda's;https://www.ah.nl/producten/product/wi140746/ah-katjang-pedis-gezouten;AH Katjang pedis gezouten;Snoep, koek, chips/Pinda's (bakje);1.85;210 g;g;210.0;0.88;wi140746
121878664934773425;0.20;classic-box;1;NL;SPI-11-24492-4;Gezouten pinda's (20g);gezouten%20pinda's;https://www.ah.nl/producten/product/wi140746/ah-katjang-pedis-gezouten;AH Katjang pedis gezouten;Snoep, koek, chips/Pinda's (bakje);1.85;210 g;g;210.0;0.88;wi140746
121878664934773427;0.26;classic-box;0;NL;SPI-11-24495-4;Gezouten pinda's (40g);gezouten%20pinda's;https://www.ah.nl/producten/product/wi140746/ah-katjang-pedis-gezouten;AH Katjang pedis gezouten;Snoep, koek, chips/Pinda's (bakje);1.85;210 g;g;210.0;0.88;wi140746
121878664934773282;0.28;classic-box;0;NL;PHF-11-16144-4;Koriander (20g);koriander;https://www.ah.nl/producten/product/wi238968/ah-koriander;AH Koriander;Soepen, conserven, sauzen, smaakmakers/Koriander (vers);1.49;15 g;g;15.0;9.93;wi238968
121878664934773283;0.22;classic-box;1;NL;PHF-11-16142-4;Koriander (10g);koriander;https://www.ah.nl/producten/product/wi238968/ah-koriander;AH Koriander;Soepen, conserven, sauzen, smaakmakers/Koriander (vers);1.49;15 g;g;15.0;9.93;wi238968
121878664934773284;0.60;classic-box;1;NL;PHF-11-16034-4;Little gem (2st);little%20gem;;;;;;;;;
121878664934773285;0.08;classic-box;1;NL;SPI-10-45770-4;Vissaus (20ml);vissaus;https://www.ah.nl/producten/product/wi231423/ah-ravigotesaus;AH Ravigotesaus;Soepen, conserven, sauzen, smaakmakers/Ravigottesaus, tartare saus;1.53;100 g;g;100.0;1.53;wi231423
121878664934773286;0.13;classic-box;0;NL;SPI-10-45771-4;Vissaus (40ml);vissaus;https://www.ah.nl/producten/product/wi231423/ah-ravigotesaus;AH Ravigotesaus;Soepen, conserven, sauzen, smaakmakers/Ravigottesaus, tartare saus;1.53;100 g;g;100.0;1.53;wi231423
121878664934773287;0.59;classic-box;0;NL;PTN-11-47105-4;Kipgehakt met Indonesische kruiden (110g);kipgehakt%20met%20indonesische%20kruiden;;;;;;;;;
121878664934773288;1.18;classic-box;1;NL;PTN-11-47106-4;Kipgehakt met Indonesische kruiden(220g);kipgehakt%20met%20indonesische%20kruiden;;;;;;;;;
121878664934773289;1.77;classic-box;0;NL;PTN-11-47107-4;Kipgehakt met Indonesische kruiden (330g);kipgehakt%20met%20indonesische%20kruiden;;;;;;;;;
121878664934773290;2.35;classic-box;0;NL;PTN-11-47108-4;Kipgehakt met Indonesische kruiden (440g);kipgehakt%20met%20indonesische%20kruiden;;;;;;;;;
121878664934773291;0.06;classic-box;1;NL;PHF-10-16082-4;Gele ui;gele%20ui;https://www.ah.nl/producten/product/wi41247/ah-uien-klein;AH Uien klein;Aardappel, groente, fruit/Gele uien;0.71;500 g;g;500.0;0.14;wi41247
121878664934773293;0.10;classic-box;4;NL;PHF-10-16081-4;Tomaat;tomaat;https://www.ah.nl/producten/product/wi4137/ah-cherry-tomaten;AH Cherry tomaten;Aardappel, groente, fruit/Cherry tomaten (vers);0.95;250 g;g;250.0;0.38;wi4137
121878664934773294;0.29;classic-box;1;NL;PHF-10-16053-4;Rode paprika;rode%20paprika;https://www.ah.nl/producten/product/wi4117/ah-rode-paprika;AH Rode paprika;Aardappel, groente, fruit/Rode paprika;0.99;per stuk;st;1;0.99;
121878664934773295;0.24;classic-box;1;NL;SPI-11-48633-1;Abrikozenstukjes (40g);abrikozenstukjes;;;;;;;;;
121878664934773296;0.19;classic-box;0;NL;SPI-11-48631-1;Abrikozenstukjes (20g);abrikozenstukjes;;;;;;;;;
121878664934773297;0.31;classic-box;1;NL;PHF-11-16139-4;Dragon (10g);dragon;https://www.ah.nl/producten/product/wi128246/berberana-pink-dragon-tempranillo;Berberana Pink Dragon Tempranillo;Wijn/Tempranillo - rosé;2.99;0,75 l;l;0.75;0.4;wi128246
121878664934773298;0.22;classic-box;1;NL;DRY-11-17098-1;Parelcouscous (85g);parelcouscous;https://www.ah.nl/producten/product/wi405210/ah-salade-parelcouscous-pesto;AH Salade parelcouscous pesto;Aardappel, groente, fruit/Kleine salades;2.99;200 g;g;200.0;1.5;wi405210
121878664934773299;0.31;classic-box;0;NL;DRY-11-17099-1;Parelcouscous (170g);parelcouscous;https://www.ah.nl/producten/product/wi405210/ah-salade-parelcouscous-pesto;AH Salade parelcouscous pesto;Aardappel, groente, fruit/Kleine salades;2.99;200 g;g;200.0;1.5;wi405210
121878664934773300;0.25;classic-box;0;NL;BAK-11-21011-4;Ciabatta;ciabatta;https://www.ah.nl/producten/product/wi191104/ah-ciabattina;AH Ciabattina;Bakkerij/Afbakbroodjes wit;0.51;2 stuks;st;2.0;0.26;wi191104
121878664934773301;0.39;classic-box;1;NL;BAK-11-21012-4;Ciabatta (2st);ciabatta;https://www.ah.nl/producten/product/wi191104/ah-ciabattina;AH Ciabattina;Bakkerij/Afbakbroodjes wit;0.51;2 stuks;st;2.0;0.26;wi191104
121878664934773302;0.66;classic-box;0;NL;BAK-11-48721-1;Ciabatta (X3);ciabatta;https://www.ah.nl/producten/product/wi191104/ah-ciabattina;AH Ciabattina;Bakkerij/Afbakbroodjes wit;0.51;2 stuks;st;2.0;0.26;wi191104
121878664934773303;0.37;classic-box;1;NL;DAI-11-13198-4;Zure room (50g);zure%20room;https://www.ah.nl/producten/product/wi159871/campina-botergoud-ongezouten-grasboter-kuipje;Campina Botergoud ongezouten grasboter kuipje;Zuivel, eieren/Smeerbare roomboter (ongezouten);2.56;225 g;g;225.0;1.14;wi159871
121878664934773304;0.52;classic-box;0;NL;DAI-11-45964-4;Zure room (75g);zure%20room;https://www.ah.nl/producten/product/wi159871/campina-botergoud-ongezouten-grasboter-kuipje;Campina Botergoud ongezouten grasboter kuipje;Zuivel, eieren/Smeerbare roomboter (ongezouten);2.56;225 g;g;225.0;1.14;wi159871
121878664934773305;0.54;classic-box;0;NL;DAI-11-13199-4;Zure room (100g);zure%20room;https://www.ah.nl/producten/product/wi159871/campina-botergoud-ongezouten-grasboter-kuipje;Campina Botergoud ongezouten grasboter kuipje;Zuivel, eieren/Smeerbare roomboter (ongezouten);2.56;225 g;g;225.0;1.14;wi159871
121878664934773306;0.30;classic-box;0;NL;DAI-11-48712-4;Geraspte Italiaanse kaas (25g);geraspte%20italiaanse%20kaas;https://www.ah.nl/producten/product/wi33648/parrano-rasp;Parrano Rasp;Kaas, vleeswaren, delicatessen/Geraspte Italiaanse kaas;1.69;100 g;g;100.0;1.69;wi33648
121878664934773307;0.53;classic-box;1;NL;DAI-11-48713-4;Geraspte Italiaanse kaas (50g);geraspte%20italiaanse%20kaas;https://www.ah.nl/producten/product/wi33648/parrano-rasp;Parrano Rasp;Kaas, vleeswaren, delicatessen/Geraspte Italiaanse kaas;1.69;100 g;g;100.0;1.69;wi33648
121878664934773308;0.78;classic-box;0;NL;DAI-11-48714-4;Geraspte Italiaanse kaas (75g);geraspte%20italiaanse%20kaas;https://www.ah.nl/producten/product/wi33648/parrano-rasp;Parrano Rasp;Kaas, vleeswaren, delicatessen/Geraspte Italiaanse kaas;1.69;100 g;g;100.0;1.69;wi33648
121878664934773309;1.03;classic-box;0;NL;DAI-11-48715-4;Geraspte Italiaanse kaas (100g);geraspte%20italiaanse%20kaas;https://www.ah.nl/producten/product/wi33648/parrano-rasp;Parrano Rasp;Kaas, vleeswaren, delicatessen/Geraspte Italiaanse kaas;1.69;100 g;g;100.0;1.69;wi33648
121878664934773310;0.23;classic-box;1;NL;PHF-11-16150-4;Munt (10g);munt;https://www.ah.nl/producten/product/wi212132/spa-bruisend-mineraalwater-munt;Spa Bruisend mineraalwater munt;Frisdrank, sappen, koffie, thee/Water met smaak (koolzuurhoudend);1.24;1 l;l;1.0;0.12;wi212132
121878664934773311;0.29;classic-box;0;NL;PHF-11-16152-4;Munt (20g);munt;https://www.ah.nl/producten/product/wi212132/spa-bruisend-mineraalwater-munt;Spa Bruisend mineraalwater munt;Frisdrank, sappen, koffie, thee/Water met smaak (koolzuurhoudend);1.24;1 l;l;1.0;0.12;wi212132
121878664934773313;0.46;classic-box;1;NL;DAI-10-15078-4;Parmigiano reggiano, blokje (25g);parmigiano%20reggiano,%20blokje;https://www.ah.nl/producten/product/wi400471/ah-biologisch-parmigiano-reggiano;AH Biologisch Parmigiano Reggiano;Kaas, vleeswaren, delicatessen/Parmezaanse kaas (geraspt);1.64;40 g;g;40.0;4.1;wi400471
121878664934773314;0.86;classic-box;0;NL;DAI-10-15079-4;Parmigiano reggiano, blokje (50g);parmigiano%20reggiano,%20blokje;https://www.ah.nl/producten/product/wi400471/ah-biologisch-parmigiano-reggiano;AH Biologisch Parmigiano Reggiano;Kaas, vleeswaren, delicatessen/Parmezaanse kaas (geraspt);1.64;40 g;g;40.0;4.1;wi400471
121878664934773315;0.44;classic-box;1;NL;PHF-11-16023-4;Rode cherrytomaten (125g);rode%20cherrytomaten;https://www.ah.nl/producten/product/wi165583/ah-excellent-juanita-cherrytomaten-aan-de-tak;AH Excellent Juanita cherrytomaten aan de tak;Aardappel, groente, fruit/Cherry tomaten (vers);2.49;250 g;g;250.0;1.0;wi165583
121878664934773316;0.60;classic-box;0;NL;PHF-11-16024-4;Rode cherrytomaten (250g);rode%20cherrytomaten;https://www.ah.nl/producten/product/wi165583/ah-excellent-juanita-cherrytomaten-aan-de-tak;AH Excellent Juanita cherrytomaten aan de tak;Aardappel, groente, fruit/Cherry tomaten (vers);2.49;250 g;g;250.0;1.0;wi165583
121878664934773317;0.43;classic-box;1;NL;PHF-10-16027-4;Courgette (350g);courgette;https://www.ah.nl/producten/product/wi379923/ah-courgette-spaghetti;AH Courgette spaghetti;Aardappel, groente, fruit/Groentepasta, rijst (vers);1.89;400 g;g;400.0;0.47;wi379923
121878664934773318;1.36;classic-box;1;NL;PTN-10-48081-1;Skipjack tonijn in blik met olijfolie (142g);skipjack%20tonijn%20in%20blik%20met%20olijfolie;;;;;;;;;
121878664934773319;0.69;classic-box;0;NL;PTN-10-48082-1;Skipjack tonijn in blik met olijfolie (80g);skipjack%20tonijn%20in%20blik%20met%20olijfolie;;;;;;;;;
121878664934773320;1.10;classic-box;1;NL;DRY-11-48128-4;Verse conchiglie (250g);verse%20conchiglie;;;;;;;;;
121878664934773321;0.71;classic-box;0;NL;DRY-11-48127-4;Verse conchiglie (125g);verse%20conchiglie;;;;;;;;;
121878664934773322;1.56;classic-box;0;NL;DRY-11-48259-4;Verse conchiglie (375g);verse%20conchiglie;;;;;;;;;
